Date,S33,S33Nm,PER,PBR,PERCount,PBRCount
2023-01-13,5250,情報･通信業,17.603220688153275,1.967407681228048,416,496
2023-01-20,5250,情報･通信業,17.886178861788615,2.0067881503937786,415,497
2023-01-27,5250,情報･通信業,17.866311449974802,2.044720285665703,416,499
2023-02-03,5250,情報･通信業,18.133845046773807,2.0509241647527428,415,498
2023-02-10,5250,情報･通信業,18.456531845653185,2.0675011175681717,417,501
2023-02-17,5250,情報･通信業,17.681876151946,2.161737505662087,424,506
2023-02-24,5250,情報･通信業,18.011484138328562,2.1459964290619418,426,507
2023-03-03,5250,情報･通信業,18.80186721991701,2.2110479320724887,423,504
2023-03-10,5250,情報･通信業,18.33567705154053,2.2217213912194143,424,506
2023-03-17,5250,情報･通信業,18.26719576719577,2.1642812545026655,425,507
2023-03-24,5250,情報･通信業,18.529022499527322,2.127003699136868,423,505
2023-03-31,5250,情報･通信業,18.205128205128204,2.1421544515494344,425,507
2023-04-07,5250,情報･通信業,18.017423362584584,2.1314326460425534,422,504
2023-04-14,5250,情報･通信業,18.214285714285715,2.185213149030085,427,507
2023-04-21,5250,情報･通信業,17.783882783882785,2.1773482287226225,429,509
2023-04-28,5250,情報･通信業,18.168335187245088,2.1347482724580455,429,507
2023-05-02,5250,情報･通信業,18.25257343710771,2.143682660403385,429,507
2023-05-12,5250,情報･通信業,18.000758725341427,2.1773740400824124,435,515
2023-05-19,5250,情報･通信業,18.192481256272146,2.1597901344885226,444,518
2023-05-26,5250,情報･通信業,17.743902439024392,2.1720093499831066,445,517
2023-06-02,5250,情報･通信業,18.338400440550203,2.229550794483285,446,518
2023-06-09,5250,情報･通信業,18.59848233154872,2.24897909841307,444,516
2023-06-16,5250,情報･通信業,18.982925541277943,2.3173692341646435,444,519
2023-06-23,5250,情報･通信業,19.156613872338013,2.309115196733619,446,518
2023-06-30,5250,情報･通信業,19.215200881056052,2.2833547264342915,442,514
2023-07-07,5250,情報･通信業,18.843149470455746,2.245329234907065,443,515
2023-07-14,5250,情報･通信業,18.36245666430886,2.232960523751997,446,517
2023-07-21,5250,情報･通信業,18.37413115744938,2.217372666692646,447,517
2023-07-28,5250,情報･通信業,18.120262848839175,2.1847489833573537,448,519
2023-08-04,5250,情報･通信業,17.825119289178346,2.1665953974071606,444,516
2023-08-10,5250,情報･通信業,17.654872510314938,2.1492415196912154,440,522
2023-08-18,5250,情報･通信業,17.124716553287982,2.0926698102178403,445,523
