Date,Mkt,MktNm,Index,Constituents
2023-05-02,0112,スタンダード,95.5082572122049,1502
2023-05-02,0113,グロース,71.6867469879518,441
2023-05-12,0111,プライム,107.33673571325997,1544
2023-05-12,0112,スタンダード,95.8095680959411,1498
2023-05-12,0113,グロース,72.10093339661447,442
2023-05-19,0111,プライム,108.81565309360126,1544
2023-05-19,0112,スタンダード,95.63704380355823,1506
2023-05-19,0113,グロース,71.25806017978483,442
2023-05-26,0111,プライム,107.40300133517495,1544
2023-05-26,0112,スタンダード,95.12646760098104,1506
2023-05-26,0113,グロース,70.74829931972789,441
2023-06-02,0111,プライム,108.21207303031963,1544
2023-06-02,0112,スタンダード,94.6451379824725,1488
2023-06-02,0113,グロース,73.0687213999885,440
2023-06-09,0111,プライム,109.75758114088437,1544
2023-06-09,0112,スタンダード,95.38967611336032,1492
2023-06-09,0113,グロース,74.03465386172769,440
2023-06-16,0111,プライム,113.9157202329296,1544
2023-06-16,0112,スタンダード,96.69621273166801,1503
2023-06-16,0113,グロース,76.70326971653103,444
2023-06-23,0111,プライム,113.36474530323318,1544
2023-06-23,0112,スタンダード,97.26095447280932,1512
2023-06-23,0113,グロース,78.48939172171896,444
2023-06-30,0111,プライム,113.92564308181964,1544
2023-06-30,0112,スタンダード,98.17093021519347,1502
2023-06-30,0113,グロース,79.3419452887538,450
2023-07-07,0111,プライム,112.58202764458251,1544
2023-07-07,0112,スタンダード,98.22485207100591,1509
2023-07-07,0113,グロース,77.31092436974791,449
2023-07-14,0111,プライム,112.0313315926893,1544
2023-07-14,0112,スタンダード,97.4819410792328,1490
2023-07-14,0113,グロース,75.73033707865169,455
2023-07-21,0111,プライム,112.996338428579,1544
2023-07-21,0112,スタンダード,98.68421052631578,1495
2023-07-21,0113,グロース,75.71428571428571,455
2023-07-28,0111,プライム,113.51775257573979,1544
2023-07-28,0112,スタンダード,98.40240914659046,1498
2023-07-28,0113,グロース,74.8314606741573,457
2023-08-04,0111,プライム,112.58467343150936,1544
2023-08-04,0112,スタンダード,98.41175773379162,1487
2023-08-04,0113,グロース,73.36834208552138,457
2023-08-10,0111,プライム,114.81506570925349,1544
2023-08-10,0112,スタンダード,98.4658893143056,1512
2023-08-10,0113,グロース,72.14285714285714,459
2023-08-18,0111,プライム,111.36394996175073,1544
2023-08-18,0112,スタンダード,97.0074812967581,1499
2023-08-18,0113,グロース,68.62988220706757,461
2023-08-25,0111,プライム,113.53459407777899,1544
2023-08-25,0112,スタンダード,98.02371541501977,1503
2023-08-25,0113,グロース,71.1158053827276,460
2023-09-01,0111,プライム,117.03626919045564,1544
2023-09-01,0112,スタンダード,100.0,1506
2023-09-01,0113,グロース,72.86474164133739,462
2023-09-08,0111,プライム,117.3254002303159,1544
2023-09-08,0112,スタンダード,100.29360399047835,1508
2023-09-08,0113,グロース,72.87776473809335,460
2023-09-15,0111,プライム,119.79330045543968,1544
2023-09-15,0112,スタンダード,100.61652281134401,1517
2023-09-15,0113,グロース,71.98243761996162,462
2023-09-22,0111,プライム,118.09653760873273,1544
2023-09-22,0112,スタンダード,100.63756743501717,1513
2023-09-22,0113,グロース,71.41897392723001,464
2023-09-29,0111,プライム,116.42036124794745,1543
2023-09-29,0112,スタンダード,100.59691760521636,1514
2023-09-29,0113,グロース,73.77182539682539,466
2023-10-06,0111,プライム,113.32672130291799,1547
2023-10-06,0112,スタンダード,98.79569804731169,1502
2023-10-06,0113,グロース,69.88764044943821,465
2023-10-13,0111,プライム,114.19999999999999,1547
2023-10-13,0112,スタンダード,98.56115107913669,1503
2023-10-13,0113,グロース,67.75431861804223,469
2023-10-20,0111,プライム,113.16476776810586,1547
2023-10-20,0112,スタンダード,97.86648713672525,1508
2023-10-20,0113,グロース,65.0925925925926,468
2023-10-27,0111,プライム,113.9020347668727,1548
2023-10-27,0112,スタンダード,97.86771174429401,1496
2023-10-27,0113,グロース,64.12724408801458,472
2023-11-02,0111,プライム,115.17948717948718,1549
2023-11-02,0112,スタンダード,98.28824080580932,1512
2023-11-02,0113,グロース,66.00124853488254,474
2023-11-10,0111,プライム,115.99147121535181,1549
2023-11-10,0112,スタンダード,98.4159779614325,1511
2023-11-10,0113,グロース,65.59938817225193,472
2023-11-17,0111,プライム,117.35271990912821,1550
2023-11-17,0112,スタンダード,98.71175523349437,1511
2023-11-17,0113,グロース,64.66876971608832,475
2023-11-24,0111,プライム,117.4488980766651,1550
2023-11-24,0112,スタンダード,99.67689822294022,1525
2023-11-24,0113,グロース,66.94835694855222,476
2023-12-01,0111,プライム,117.67045454545455,1549
2023-12-01,0112,スタンダード,100.0,1519
2023-12-01,0113,グロース,65.10071262361839,476
2023-12-08,0111,プライム,114.93417139883452,1550
2023-12-08,0112,スタンダード,99.01737769781693,1520
2023-12-08,0113,グロース,63.00417246175244,475
2023-12-15,0111,プライム,115.59536977741554,1550
2023-12-15,0112,スタンダード,99.0453460620525,1525
2023-12-15,0113,グロース,62.74881516587678,479
2023-12-22,0111,プライム,116.31422693299305,1550
2023-12-22,0112,スタンダード,99.11434221691553,1534
2023-12-22,0113,グロース,63.95348837209303,483
2023-12-29,0111,プライム,118.4030106840244,1550
2023-12-29,0112,スタンダード,100.0,1522
2023-12-29,0113,グロース,66.19047619047619,487
2024-01-05,0111,プライム,119.11613623210077,1550
2024-01-05,0112,スタンダード,101.67691357693238,1532
2024-01-05,0113,グロース,66.08157354475559,486
2024-01-12,0111,プライム,121.80709181557808,1550
2024-01-12,0112,スタンダード,102.219074598678,1527
2024-01-12,0113,グロース,66.50515846128278,486
2024-01-19,0111,プライム,121.97097123559861,1550
2024-01-19,0112,スタンダード,102.75921450671319,1524
2024-01-19,0113,グロース,64.39859270855189,486
2024-01-26,0111,プライム,122.12231139485237,1550
2024-01-26,0112,スタンダード,104.36657681940702,1532
2024-01-26,0113,グロース,65.66176470588235,485
2024-02-02,0111,プライム,123.49078044202354,1550
2024-02-02,0112,スタンダード,105.0,1531
2024-02-02,0113,グロース,65.89911664211556,486
2024-02-09,0111,プライム,122.61972919867657,1550
2024-02-09,0112,スタンダード,104.11981311371554,1530
2024-02-09,0113,グロース,65.86646661665417,487
2024-02-16,0111,プライム,123.59137522705848,1550
2024-02-16,0112,スタンダード,103.50210844274305,1536
2024-02-16,0113,グロース,64.78196946946947,488
2024-02-22,0111,プライム,124.83532602280675,1550
2024-02-22,0112,スタンダード,105.42857142857143,1541
2024-02-22,0113,グロース,65.70824524312896,489
2024-03-01,0111,プライム,125.96117574755759,1550
2024-03-01,0112,スタンダード,105.62651740171812,1536
2024-03-01,0113,グロース,65.92403545135457,490
2024-03-08,0111,プライム,127.9094879997007,1550
2024-03-08,0112,スタンダード,106.44007155635063,1523
2024-03-08,0113,グロース,67.28160607704828,491
2024-03-15,0111,プライム,127.43014583848978,1550
2024-03-15,0112,スタンダード,106.54450261780104,1529
2024-03-15,0113,グロース,65.49560853199499,491
2024-03-22,0111,プライム,131.02971441502325,1550
2024-03-22,0112,スタンダード,108.52842809364549,1533
2024-03-22,0113,グロース,67.81725888324873,493
2024-03-29,0111,プライム,128.77270161234804,1550
